#n		IS_t		IS_O		MS_t		MS_O

10		17		17.7619		27		5.29595
20		8		71.0476		15		13.7804
30		9		159.857		16		23.4683
40		9		284.19		16		33.9377
50		9		444.048		17		44.9883
60		11		639.429		18		56.502
70		12		870.333		20		68.4008
80		13		1136.76		20		80.6293
90		14		1438.71		22		93.1461
100		15		1776.19		22		105.919
110		18		2149.19		24		118.922
120		18		2557.71		25		132.135
130		20		3001.76		26		145.539
140		22		3481.33		27		159.121
150		23		3996.43		28		172.867
160		25		4547.05		30		186.766
170		28		5133.19		31		200.81
180		32		5754.86		32		214.988
190		34		6412.05		32		229.295
200		36		7104.76		35		243.723


