#n		Runtime_SQUARE		Bound_SQUARE		Runtime_STRASSEN		Bound_STRASSEN

2		0		            36.2518		        11		                2040.52
4		1		            290.015		        95		                14309.8
8		3		            2320.12		        680		                100353
16		21		            18560.9		        4435		            703758
32		167		            148488		        29952		            4.93535e+06
64		1145		        1.1879e+06		    233183		            3.46108e+07
128		10966		        9.5032e+06		    1.54483e+06		        2.4272e+08
256		76363		        7.60256e+07		    8.1025e+06		        1.70216e+09
512		719474		        6.08205e+08		    4.86858e+07		        1.1937e+10
1024	5.52732e+06	        4.86564e+09		    3.48202e+08		        8.37123e+10
