#Three randomly selected array elements in order
#The first line for INSERTION-SORT and the second for MERGE-SORT.

#[i]   A[i]   [j]    A[j]   [k]    A[k]

1      12     5      65     8      77
2      12     5      61     8      76

1      19     6      75     17     171
1      1      8      77     13     111

4      55     19     200    25     253
6      56     14     124    25     243

7      116    16     244    37     385
12     177    18     248    38     385

0      3      21     176    47     478
10     54     16     110    45     449

1      25     28     340    44     484
11     150    22     259    47     507

4      23     33     375    59     623
20     225    33     373    54     574

25     288    28     313    74     767
2      7      42     446    57     589

25     299    41     424    69     652
25     291    58     562    68     651

20     216    44     532    97     973
6      59     53     583    90     899

23     246    42     374    90     919
5      52     50     427    93     936

5      77     42     368    113    1128
15     154    62     588    85     792

28     265    58     674    101    1079
42     407    77     877    96     1012

1      23     72     777    122    1236
26     303    55     580    100    1032

25     243    98     1035   105    1077
8      41     89     929    127    1291

34     288    92     925    127    1291
40     321    76     698    149    1467

19     186    75     713    115    1166
0      0      105    1014   114    1151

42     419    109    1148   158    1591
11     97     68     683    157    1568

55     430    108    1031   177    1767
20     158    63     496    129    1265

36     479    85     851    149    1487
7      90     100    964    164    1640


#n		IS_t		IS_O		MS_t		MS_O

10		13		14.381		19		3.92536
20		5		57.5238		9		10.214
30		5		129.429		10		17.3947
40		6		230.095		11		25.1546
50		7		359.524		12		33.3453
60		7		517.714		12		41.8793
70		8		704.667		14		50.6987
80		10		920.381		15		59.7625
90		11		1164.86		15		69.0399
100		12		1438.1		17		78.5072
110		16		1740.1		18		88.1452
120		15		2070.86		18		97.9384
130		18		2430.38		20		107.874
140		18		2818.67		21		117.941
150		19		3235.71		22		128.129
160		23		3681.52		23		138.431
170		22		4156.1		24		148.84
180		26		4659.43		25		159.35
190		30		5191.52		26		169.954
200		31		5752.38		27		180.647
