    #n  AveTimeA      AveTimeB      AveTimeC
    10     214.2         172.5           350
   110   2559.79       1700.91        3437.6
   210   4879.83       3089.79        6759.1
   310   7535.47       5189.76       10123.7
   410   10395.8        7162.4       14121.6
   510   12559.2       8241.55       16775.6
   610   15230.9       9952.54       20031.8
   710     16808       11508.5       23251.6
   810   20890.6       14411.4       27639.7
   910   23552.7       16009.1       31329.1
  1010     26183       17596.9       34255.6

